"8f19e85b-ee80-48b8-9505-4a21a5d84d22"
"question","question_id: answer","count"
"8f19e85b-ee80-48b8-9505-4a21a5d84d22","9d79c329-2429-4a41-bd7f-b0dbe0f43996: (In the right-hand case, the self-driving car with sudden brake failure will swerve and crash into a concrete barrier. This will result in ...
Dead:
2 women
1 boy
)
5724963f-e63f-4255-8734-65514e4ca80c: (In the left-hand case, the self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing. This will result in ...
Dead:
2 homeless people
)
de9607e8-7c49-4199-b971-3f71514fbc72: 
","1"
"8f19e85b-ee80-48b8-9505-4a21a5d84d22","9d79c329-2429-4a41-bd7f-b0dbe0f43996: (In the left-hand case, the self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing. This will result in ...
Dead:
2 women
1 boy
)
5724963f-e63f-4255-8734-65514e4ca80c: (In the right-hand case, the self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing. This will result in ...
Dead:
1 male executive
1 female executive
)
de9607e8-7c49-4199-b971-3f71514fbc72: IST
","1"
"8f19e85b-ee80-48b8-9505-4a21a5d84d22","9d79c329-2429-4a41-bd7f-b0dbe0f43996: (In the right-hand case, the self-driving car with sudden brake failure will swerve and crash into a concrete barrier. This will result in ...
Dead:
2 women
1 boy
)
5724963f-e63f-4255-8734-65514e4ca80c: (In the right-hand case, the self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing. This will result in ...
Dead:
1 male executive
1 female executive
)
de9607e8-7c49-4199-b971-3f71514fbc72: ist
","1"
"8f19e85b-ee80-48b8-9505-4a21a5d84d22","9d79c329-2429-4a41-bd7f-b0dbe0f43996: (In the left-hand case, the self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing. This will result in ...
Dead:
2 women
1 boy
)
5724963f-e63f-4255-8734-65514e4ca80c: (In the right-hand case, the self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing. This will result in ...
Dead:
1 male executive
1 female executive
)
de9607e8-7c49-4199-b971-3f71514fbc72: est
","1"
"8f19e85b-ee80-48b8-9505-4a21a5d84d22","9d79c329-2429-4a41-bd7f-b0dbe0f43996: (In the left-hand case, the self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing. This will result in ...
Dead:
2 women
1 boy
)
5724963f-e63f-4255-8734-65514e4ca80c: (In the left-hand case, the self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing. This will result in ...
Dead:
2 homeless people
)
de9607e8-7c49-4199-b971-3f71514fbc72: GMT
","4"
"8f19e85b-ee80-48b8-9505-4a21a5d84d22","9d79c329-2429-4a41-bd7f-b0dbe0f43996: (In the left-hand case, the self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing. This will result in ...
Dead:
2 women
1 boy
)
5724963f-e63f-4255-8734-65514e4ca80c: (In the right-hand case, the self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing. This will result in ...
Dead:
1 male executive
1 female executive
)
de9607e8-7c49-4199-b971-3f71514fbc72: CST
","1"
"8f19e85b-ee80-48b8-9505-4a21a5d84d22","9d79c329-2429-4a41-bd7f-b0dbe0f43996: (In the left-hand case, the self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing. This will result in ...
Dead:
2 women
1 boy
)
5724963f-e63f-4255-8734-65514e4ca80c: (In the right-hand case, the self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing. This will result in ...
Dead:
1 male executive
1 female executive
)
de9607e8-7c49-4199-b971-3f71514fbc72: PST
","1"
"8f19e85b-ee80-48b8-9505-4a21a5d84d22","9d79c329-2429-4a41-bd7f-b0dbe0f43996: (In the right-hand case, the self-driving car with sudden brake failure will swerve and crash into a concrete barrier. This will result in ...
Dead:
2 women
1 boy
)
5724963f-e63f-4255-8734-65514e4ca80c: (In the right-hand case, the self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing. This will result in ...
Dead:
1 male executive
1 female executive
)
de9607e8-7c49-4199-b971-3f71514fbc72: PST
","2"
"8f19e85b-ee80-48b8-9505-4a21a5d84d22","9d79c329-2429-4a41-bd7f-b0dbe0f43996: (In the right-hand case, the self-driving car with sudden brake failure will swerve and crash into a concrete barrier. This will result in ...
Dead:
2 women
1 boy
)
5724963f-e63f-4255-8734-65514e4ca80c: (In the left-hand case, the self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing. This will result in ...
Dead:
2 homeless people
)
de9607e8-7c49-4199-b971-3f71514fbc72: IST
","4"
"8f19e85b-ee80-48b8-9505-4a21a5d84d22","9d79c329-2429-4a41-bd7f-b0dbe0f43996: (In the right-hand case, the self-driving car with sudden brake failure will swerve and crash into a concrete barrier. This will result in ...
Dead:
2 women
1 boy
)
5724963f-e63f-4255-8734-65514e4ca80c: (In the left-hand case, the self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing. This will result in ...
Dead:
2 homeless people
)
de9607e8-7c49-4199-b971-3f71514fbc72: utc
","1"
"8f19e85b-ee80-48b8-9505-4a21a5d84d22","9d79c329-2429-4a41-bd7f-b0dbe0f43996: (In the right-hand case, the self-driving car with sudden brake failure will swerve and crash into a concrete barrier. This will result in ...
Dead:
2 women
1 boy
)
5724963f-e63f-4255-8734-65514e4ca80c: (In the left-hand case, the self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing. This will result in ...
Dead:
2 homeless people
)
de9607e8-7c49-4199-b971-3f71514fbc72: EST
","1"
"8f19e85b-ee80-48b8-9505-4a21a5d84d22","9d79c329-2429-4a41-bd7f-b0dbe0f43996: (In the right-hand case, the self-driving car with sudden brake failure will swerve and crash into a concrete barrier. This will result in ...
Dead:
2 women
1 boy
)
5724963f-e63f-4255-8734-65514e4ca80c: (In the left-hand case, the self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing. This will result in ...
Dead:
2 homeless people
)
de9607e8-7c49-4199-b971-3f71514fbc72: gmt
","1"
"8f19e85b-ee80-48b8-9505-4a21a5d84d22","9d79c329-2429-4a41-bd7f-b0dbe0f43996: (In the right-hand case, the self-driving car with sudden brake failure will swerve and crash into a concrete barrier. This will result in ...
Dead:
2 women
1 boy
)
5724963f-e63f-4255-8734-65514e4ca80c: (In the left-hand case, the self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing. This will result in ...
Dead:
2 homeless people
)
de9607e8-7c49-4199-b971-3f71514fbc72: CET
","2"
"8f19e85b-ee80-48b8-9505-4a21a5d84d22","9d79c329-2429-4a41-bd7f-b0dbe0f43996: (In the right-hand case, the self-driving car with sudden brake failure will swerve and crash into a concrete barrier. This will result in ...
Dead:
2 women
1 boy
)
5724963f-e63f-4255-8734-65514e4ca80c: (In the right-hand case, the self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing. This will result in ...
Dead:
1 male executive
1 female executive
)
de9607e8-7c49-4199-b971-3f71514fbc72: UTC
","2"
"8f19e85b-ee80-48b8-9505-4a21a5d84d22","9d79c329-2429-4a41-bd7f-b0dbe0f43996: (In the right-hand case, the self-driving car with sudden brake failure will swerve and crash into a concrete barrier. This will result in ...
Dead:
2 women
1 boy
)
5724963f-e63f-4255-8734-65514e4ca80c: (In the right-hand case, the self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing. This will result in ...
Dead:
1 male executive
1 female executive
)
de9607e8-7c49-4199-b971-3f71514fbc72: 
","1"
"8f19e85b-ee80-48b8-9505-4a21a5d84d22","9d79c329-2429-4a41-bd7f-b0dbe0f43996: (In the left-hand case, the self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing. This will result in ...
Dead:
2 women
1 boy
)
5724963f-e63f-4255-8734-65514e4ca80c: (In the right-hand case, the self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing. This will result in ...
Dead:
1 male executive
1 female executive
)
de9607e8-7c49-4199-b971-3f71514fbc72: utc
","1"
"8f19e85b-ee80-48b8-9505-4a21a5d84d22","9d79c329-2429-4a41-bd7f-b0dbe0f43996: (In the left-hand case, the self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing. This will result in ...
Dead:
2 women
1 boy
)
5724963f-e63f-4255-8734-65514e4ca80c: (In the left-hand case, the self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing. This will result in ...
Dead:
2 homeless people
)
de9607e8-7c49-4199-b971-3f71514fbc72: PST
","1"
"8f19e85b-ee80-48b8-9505-4a21a5d84d22","9d79c329-2429-4a41-bd7f-b0dbe0f43996: (In the left-hand case, the self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing. This will result in ...
Dead:
2 women
1 boy
)
5724963f-e63f-4255-8734-65514e4ca80c: (In the left-hand case, the self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing. This will result in ...
Dead:
2 homeless people
)
de9607e8-7c49-4199-b971-3f71514fbc72: BST
","1"
"8f19e85b-ee80-48b8-9505-4a21a5d84d22","9d79c329-2429-4a41-bd7f-b0dbe0f43996: (In the right-hand case, the self-driving car with sudden brake failure will swerve and crash into a concrete barrier. This will result in ...
Dead:
2 women
1 boy
)
5724963f-e63f-4255-8734-65514e4ca80c: (In the left-hand case, the self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing. This will result in ...
Dead:
2 homeless people
)
de9607e8-7c49-4199-b971-3f71514fbc72: PST
","1"
"8f19e85b-ee80-48b8-9505-4a21a5d84d22","9d79c329-2429-4a41-bd7f-b0dbe0f43996: (In the left-hand case, the self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing. This will result in ...
Dead:
2 women
1 boy
)
5724963f-e63f-4255-8734-65514e4ca80c: (In the left-hand case, the self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing. This will result in ...
Dead:
2 homeless people
)
de9607e8-7c49-4199-b971-3f71514fbc72: EST
","3"
