"6b677634-19dc-4797-9941-31a6a7c77cf5"
"question","question_id: answer","count"
"6b677634-19dc-4797-9941-31a6a7c77cf5","85e8f8f5-54e3-42ce-b005-edb49a31a900: (In the right-hand case, the self-driving car with sudden brake failure will swerve and crash into a concrete barrier. This will result in ...
Dead:
2 women
1 boy
)
bfef37c5-e6f8-42a0-992e-844a4b1bc74f: (In the left-hand case, the self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing. This will result in ...
Dead:
1 male executive
1 female executive
)
4b91a959-8765-4440-9337-6309f92e07d0: est
","1"
"6b677634-19dc-4797-9941-31a6a7c77cf5","85e8f8f5-54e3-42ce-b005-edb49a31a900: (In the left-hand case, the self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing. This will result in ...
Dead:
2 women
1 boy
)
bfef37c5-e6f8-42a0-992e-844a4b1bc74f: (In the right-hand case, the self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing. This will result in ...
Dead:
2 homeless people
)
4b91a959-8765-4440-9337-6309f92e07d0: UTC
","1"
"6b677634-19dc-4797-9941-31a6a7c77cf5","85e8f8f5-54e3-42ce-b005-edb49a31a900: (In the left-hand case, the self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing. This will result in ...
Dead:
2 women
1 boy
)
bfef37c5-e6f8-42a0-992e-844a4b1bc74f: (In the right-hand case, the self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing. This will result in ...
Dead:
2 homeless people
)
4b91a959-8765-4440-9337-6309f92e07d0: PST
","2"
"6b677634-19dc-4797-9941-31a6a7c77cf5","85e8f8f5-54e3-42ce-b005-edb49a31a900: (In the right-hand case, the self-driving car with sudden brake failure will swerve and crash into a concrete barrier. This will result in ...
Dead:
2 women
1 boy
)
bfef37c5-e6f8-42a0-992e-844a4b1bc74f: (In the left-hand case, the self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing. This will result in ...
Dead:
1 male executive
1 female executive
)
4b91a959-8765-4440-9337-6309f92e07d0: CET
","1"
"6b677634-19dc-4797-9941-31a6a7c77cf5","85e8f8f5-54e3-42ce-b005-edb49a31a900: (In the left-hand case, the self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing. This will result in ...
Dead:
2 women
1 boy
)
bfef37c5-e6f8-42a0-992e-844a4b1bc74f: (In the right-hand case, the self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing. This will result in ...
Dead:
2 homeless people
)
4b91a959-8765-4440-9337-6309f92e07d0: GMT
","3"
"6b677634-19dc-4797-9941-31a6a7c77cf5","85e8f8f5-54e3-42ce-b005-edb49a31a900: (In the right-hand case, the self-driving car with sudden brake failure will swerve and crash into a concrete barrier. This will result in ...
Dead:
2 women
1 boy
)
bfef37c5-e6f8-42a0-992e-844a4b1bc74f: (In the right-hand case, the self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing. This will result in ...
Dead:
2 homeless people
)
4b91a959-8765-4440-9337-6309f92e07d0: EST
","2"
"6b677634-19dc-4797-9941-31a6a7c77cf5","85e8f8f5-54e3-42ce-b005-edb49a31a900: (In the left-hand case, the self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing. This will result in ...
Dead:
2 women
1 boy
)
bfef37c5-e6f8-42a0-992e-844a4b1bc74f: (In the left-hand case, the self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing. This will result in ...
Dead:
1 male executive
1 female executive
)
4b91a959-8765-4440-9337-6309f92e07d0: PST
","3"
"6b677634-19dc-4797-9941-31a6a7c77cf5","85e8f8f5-54e3-42ce-b005-edb49a31a900: (In the right-hand case, the self-driving car with sudden brake failure will swerve and crash into a concrete barrier. This will result in ...
Dead:
2 women
1 boy
)
bfef37c5-e6f8-42a0-992e-844a4b1bc74f: (In the left-hand case, the self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing. This will result in ...
Dead:
1 male executive
1 female executive
)
4b91a959-8765-4440-9337-6309f92e07d0: IST
","1"
"6b677634-19dc-4797-9941-31a6a7c77cf5","85e8f8f5-54e3-42ce-b005-edb49a31a900: (In the left-hand case, the self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing. This will result in ...
Dead:
2 women
1 boy
)
bfef37c5-e6f8-42a0-992e-844a4b1bc74f: (In the left-hand case, the self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing. This will result in ...
Dead:
1 male executive
1 female executive
)
4b91a959-8765-4440-9337-6309f92e07d0: IST
","2"
"6b677634-19dc-4797-9941-31a6a7c77cf5","85e8f8f5-54e3-42ce-b005-edb49a31a900: (In the right-hand case, the self-driving car with sudden brake failure will swerve and crash into a concrete barrier. This will result in ...
Dead:
2 women
1 boy
)
bfef37c5-e6f8-42a0-992e-844a4b1bc74f: (In the right-hand case, the self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing. This will result in ...
Dead:
2 homeless people
)
4b91a959-8765-4440-9337-6309f92e07d0: CST
","1"
"6b677634-19dc-4797-9941-31a6a7c77cf5","85e8f8f5-54e3-42ce-b005-edb49a31a900: (In the left-hand case, the self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing. This will result in ...
Dead:
2 women
1 boy
)
bfef37c5-e6f8-42a0-992e-844a4b1bc74f: (In the right-hand case, the self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing. This will result in ...
Dead:
2 homeless people
)
4b91a959-8765-4440-9337-6309f92e07d0: EST
","2"
"6b677634-19dc-4797-9941-31a6a7c77cf5","85e8f8f5-54e3-42ce-b005-edb49a31a900: (In the right-hand case, the self-driving car with sudden brake failure will swerve and crash into a concrete barrier. This will result in ...
Dead:
2 women
1 boy
)
bfef37c5-e6f8-42a0-992e-844a4b1bc74f: (In the right-hand case, the self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing. This will result in ...
Dead:
2 homeless people
)
4b91a959-8765-4440-9337-6309f92e07d0: GMT
","5"
"6b677634-19dc-4797-9941-31a6a7c77cf5","85e8f8f5-54e3-42ce-b005-edb49a31a900: (In the left-hand case, the self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing. This will result in ...
Dead:
2 women
1 boy
)
bfef37c5-e6f8-42a0-992e-844a4b1bc74f: (In the right-hand case, the self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing. This will result in ...
Dead:
2 homeless people
)
4b91a959-8765-4440-9337-6309f92e07d0: IST
","1"
"6b677634-19dc-4797-9941-31a6a7c77cf5","85e8f8f5-54e3-42ce-b005-edb49a31a900: (In the left-hand case, the self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing. This will result in ...
Dead:
2 women
1 boy
)
bfef37c5-e6f8-42a0-992e-844a4b1bc74f: (In the left-hand case, the self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing. This will result in ...
Dead:
1 male executive
1 female executive
)
4b91a959-8765-4440-9337-6309f92e07d0: CET
","2"
"6b677634-19dc-4797-9941-31a6a7c77cf5","85e8f8f5-54e3-42ce-b005-edb49a31a900: (In the right-hand case, the self-driving car with sudden brake failure will swerve and crash into a concrete barrier. This will result in ...
Dead:
2 women
1 boy
)
bfef37c5-e6f8-42a0-992e-844a4b1bc74f: (In the left-hand case, the self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing. This will result in ...
Dead:
1 male executive
1 female executive
)
4b91a959-8765-4440-9337-6309f92e07d0: 
","2"
"6b677634-19dc-4797-9941-31a6a7c77cf5","85e8f8f5-54e3-42ce-b005-edb49a31a900: (In the left-hand case, the self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing. This will result in ...
Dead:
2 women
1 boy
)
bfef37c5-e6f8-42a0-992e-844a4b1bc74f: (In the left-hand case, the self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing. This will result in ...
Dead:
1 male executive
1 female executive
)
4b91a959-8765-4440-9337-6309f92e07d0: GMT
","1"
